run_id,user,session_file,bin,method,n_candidates_kept,pearson
,I,240205_userI_tripod_01_6.csv,26,phase,111,0.947871880865291
,I,240205_userI_tripod_01_7.csv,29,phase,122,0.9774704957131796
,I,240213_userI_tripod_01_0.csv,29,phase,136,0.9089821681774376
,I,240213_userI_tripod_01_1.csv,28,phase,116,0.8640981397389884
,I,240213_userI_tripod_01_2.csv,39,phase,118,-0.6710882135491809
,I,240213_userI_tripod_01_3.csv,28,phase,102,0.6067736425987715
,I,240213_userI_tripod_01_4.csv,29,phase,115,0.7432833863738451
,I,240213_userI_tripod_01_5.csv,23,abs,117,0.6362602788309928
,I,240213_userI_tripod_01_6.csv,28,phase,119,0.904917929660235
,I,240213_userI_tripod_01_7.csv,28,phase,140,0.946068085111372
,I,240213_userI_tripod_02_0.csv,38,abs,94,-0.17038963465582535
,I,240213_userI_tripod_02_1.csv,49,abs,117,-0.7622482355637007
,I,240213_userI_tripod_02_2.csv,28,phase,114,0.8283123007026733
,I,240213_userI_tripod_02_3.csv,30,phase,136,0.8575163293555723
,I,240213_userI_tripod_02_4.csv,28,phase,119,0.8620009622699308
,I,240213_userI_tripod_02_5.csv,28,phase,106,0.9351771730194606
,I,240213_userI_tripod_02_6.csv,68,phase,95,0.24029739480241083
,I,240213_userI_tripod_02_7.csv,29,phase,128,0.7768964858027081
,I,240213_userI_tripod_03_0.csv,50,abs,117,-0.7956939307052655
,I,240213_userI_tripod_03_1.csv,44,abs,118,0.8168911186634003
,I,240213_userI_tripod_03_2.csv,50,phase,141,-0.2726647629033403
,I,240213_userI_tripod_03_3.csv,29,phase,148,0.7977314212577618
,I,240213_userI_tripod_03_4.csv,50,phase,131,0.8926085423746077
,I,240213_userI_tripod_03_5.csv,28,phase,134,0.8847161056492943
,I,240213_userI_tripod_03_6.csv,64,phase,134,0.5073324666178786
,I,240213_userI_tripod_03_7.csv,64,phase,114,0.6614727392312714
,I,240213_userI_tripod_04_0.csv,28,abs,138,0.9430119935142898
,I,240213_userI_tripod_04_1.csv,50,phase,121,0.7908315235104533
,I,240213_userI_tripod_04_2.csv,50,abs,117,0.7573602231100752
,I,240213_userI_tripod_04_3.csv,29,abs,117,0.8085492460147985
,I,240213_userI_tripod_04_4.csv,50,abs,138,0.4291782168444648
,I,240213_userI_tripod_04_5.csv,64,phase,129,0.8789103847490547
,I,240213_userI_tripod_04_6.csv,64,abs,115,-0.12252481688272958
,I,240213_userI_tripod_04_7.csv,30,abs,112,0.7930155234294504
,I,240213_userI_tripod_05_0.csv,52,phase,101,0.9264598104485906
,I,240213_userI_tripod_05_1.csv,24,phase,111,0.7174072900546941
,I,240213_userI_tripod_05_2.csv,50,abs,143,0.7955515857672293
,I,240213_userI_tripod_05_3.csv,51,phase,141,0.8999685085967191
,I,240213_userI_tripod_05_4.csv,50,abs,130,0.9424110165056174
,I,240213_userI_tripod_05_5.csv,24,phase,138,0.7479141008548621
,I,240213_userI_tripod_05_6.csv,24,phase,141,0.8195986396640492
